Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,PageRank
Eddard S,,3.0,1.68,2267.9241691200696,0.04748555443035645
Jon S,,4.0,1.976,1343.2391101545497,0.03253741486742942
Jon A,,4.0,2.264,20.594020590318873,0.01114656966670028
Tyrion L,,4.0,1.888,1637.5829342747606,0.040786403572941214
Bran S,,4.0,2.048,326.1439060077064,0.019850257664959316
Brandon S,,4.0,2.616,0.9047619047619047,0.005548155263001607
Daenerys T,,4.0,2.392,1424.0888853625304,0.020459684951359067
Catelyn S,,4.0,1.912,1029.7028885538693,0.03440842607710486
Arya S,,4.0,2.136,197.86281793133534,0.01907024286717211
Robert B,,3.0,1.792,1301.081878608809,0.03038338338516816
Sansa S,,4.0,1.952,683.4143536654473,0.02799856047412701
Robb S,,4.0,1.944,708.7417068964901,0.02792241170938004
Joffrey B,,4.0,2.08,195.42515611377297,0.01986143719417645
Petyr B,,4.0,2.176,70.0193460540422,0.016303111571372087
Jaime L,,4.0,2.16,109.57321517942832,0.01685400561949344
Tywin L,,4.0,2.208,257.1016668633434,0.01594928341629476
Luwin,,4.0,2.2,73.0163443857484,0.011612973423420853
Lysa A,,4.0,2.304,84.33291278187082,0.011419894452768593
Varys,,4.0,2.36,14.51336352002693,0.011720537530260111
Rodrik C,,4.0,2.248,50.77215823392296,0.011944086096892821
Cersei L,,4.0,2.152,134.8744922793531,0.018968753471855795
Renly B,,4.0,2.32,22.266975694584055,0.011861864654832743
Septa M,,4.0,2.544,18.564360907909297,0.007148734634690803
Pycelle,,4.0,2.496,125.38359788359787,0.010791104293639298
Sandor C,,4.0,2.464,39.92523277404854,0.011445356732589425
Jory C,,4.0,2.216,189.72207448983764,0.015464301726556249
Gregor C,,4.0,2.328,182.05598483216124,0.008806215469177328
Stannis B,,4.0,2.528,2.2169543419543416,0.007600528354711152
Theon G,,4.0,2.272,69.72079610883912,0.012438964604838476
Barristan S,,4.0,2.528,0.8192364640190727,0.008306413636317352
Rickon S,,4.0,2.336,1.1333694083694081,0.007256262714289479
Syrio F,,4.0,2.608,7.887078199578197,0.003926144260597725
Loras T,,4.0,2.56,15.26626984126984,0.006644595522970513
Rhaegar T,,4.0,2.52,61.517999602199374,0.005774728156345074
Tom,,4.0,2.608,2.3666666666666667,0.005063024803169681
Aerys T,,4.0,2.608,0.43803418803418803,0.004570134744399296
Lyanna,,4.0,2.576,1.273051948051948,0.00459479646787847
Janos S,,4.0,2.624,0.0,0.0035836765128988996
Ilyn P,,4.0,2.56,0.14285714285714285,0.005228170878938698
Alyn,,4.0,2.648,0.0,0.0040812043653200136
Rickard K,,4.0,2.424,31.911560661560674,0.006922544699874968
Desmond,,4.0,2.672,0.0,0.0020490472745553125
Vayon P,,4.0,2.672,0.0,0.0020490472745553125
Raymun D,,4.0,2.648,0.0,0.002831494462461633
Harwin,,4.0,2.648,0.0,0.0040812043653200136
Tobho M,,4.0,2.672,0.0,0.0020490472745553125
Cayn,,4.0,2.664,0.0,0.003124651450017903
Torrhen K,,4.0,2.672,0.0,0.0020490472745553125
Samwell T,,5.0,2.76,153.63095238095238,0.01209273696958817
Benjen S,,5.0,2.576,11.920472582972586,0.008871923406148188
Jeor M,,5.0,2.704,21.540873015873018,0.007783117437695634
Pyp,,5.0,2.928,0.25,0.006754877430962235
Alliser T,,5.0,2.696,30.84977975241132,0.007685831741223679
Aemon T,,5.0,2.936,1.1666666666666665,0.005710197947783176
Grenn,,5.0,2.936,0.0,0.00561958910648773
Yoren,,5.0,2.728,0.0,0.0040844374581469715
Halder,,5.0,2.928,0.25,0.006754877430962234
Jaremy R,,5.0,2.96,0.0,0.003281637019130628
Chett,,5.0,2.944,0.0,0.004535423670022925
Bowen M,,5.0,2.968,0.0,0.0021785116110009982
Donal N,,5.0,2.968,0.0,0.0021785116110009982
Dareon,,5.0,2.968,0.0,0.0021785116110009982
Hobb,,5.0,2.968,0.0,0.0021785116110009982
Robert A,,5.0,2.856,0.0,0.003035999481137191
Bronn,,5.0,2.648,14.350428574693275,0.0083253515928246
Vardis E,,5.0,2.72,124.33333333333333,0.006949465398012699
Shagga,,5.0,2.856,124.0,0.006392629952897501
Kevan L,,5.0,2.76,0.0,0.0038530432759851154
Mord,,5.0,2.88,0.0,0.0021535934858229857
Marillion,,5.0,2.72,0.0,0.0048950968220564
Conn,,5.0,2.864,0.0,0.003968285171439381
Shae,,5.0,2.88,0.0,0.0021535934858229857
Chiggen,,5.0,2.872,0.0,0.0031645768197213933
Jyck,,5.0,2.872,0.0,0.0037459549499265455
Willis W,,5.0,2.712,0.25,0.0059369930986486324
Morrec,,5.0,2.872,0.0,0.0037459549499265455
Lefford,,5.0,2.88,0.0,0.0021535934858229857
Hodor,,5.0,2.88,5.160714285714285,0.005104412086710024
Nan,,5.0,3.032,0.0,0.0031186782085682214
Osha,,5.0,3.032,0.0,0.002931410023185096
Tommen,,5.0,2.864,1.7104728604728605,0.004486052231241189
Drogo,,5.0,3.256,264.6904761904762,0.01871437044510836
Jorah M,,5.0,3.248,18.26948051948052,0.010924001518874096
Viserys T,,4.0,2.6,114.6141843352617,0.008292939557592879
Mirri M,,5.0,3.352,0.0,0.004494551550622869
Illyrio M,,4.0,2.616,78.25714137821869,0.00617275818964913
Irri,,5.0,3.312,4.333333333333333,0.009022128786474699
Jhiqui,,5.0,3.368,0.0,0.004528276298057991
Qotho,,5.0,3.312,5.795238095238094,0.009414098896098776
Doreah,,5.0,3.344,0.9999999999999999,0.005730455217005104
Jhogo,,5.0,3.328,0.25,0.00664368566338132
Aggo,,5.0,3.328,2.7,0.0068476933303706555
Haggo,,5.0,3.344,0.0,0.005708087696597213
Cohollo,,5.0,3.344,0.0,0.005708087696597213
Rakharo,,5.0,3.368,0.5,0.004708648309932093
Quaro,,5.0,3.368,0.5,0.00469244519054208
Brynden T,,5.0,2.744,5.533357737034208,0.006613917797514949
Walder F,,5.0,2.752,0.5625,0.004709115500681201
Edmure T,,5.0,2.672,78.541687315952,0.008038503050079809
Greatjon U,,5.0,2.776,127.77884615384616,0.007925569532343016
Hoster T,,5.0,2.872,0.6,0.003989251249626526
Masha H,,5.0,2.904,0.0,0.0020766797889939185
Hallis M,,5.0,2.808,0.0,0.003805397089879012
Stevron F,,5.0,2.904,0.0,0.0020766797889939185
Donnel W,,5.0,2.904,0.0,0.0020766797889939185
Hal M,,5.0,2.816,0.0,0.002924303960901645
Jeyne P,,5.0,2.904,0.0,0.0036888376698191927
Myrcella,,5.0,2.816,2.4896825396825393,0.00617647999203827
Mycah,,5.0,2.856,0.0,0.004398638830422021
Meryn T,,5.0,2.904,2.583333333333333,0.005022447624138663
Beric D,,5.0,2.936,0.0,0.002951932398488474
Boros B,,5.0,2.864,0.8072802197802198,0.0038452457357378506
Maegor,,5.0,2.944,0.0,0.0020108693620557797
Roose B,,5.0,2.864,0.0,0.002941818841926582
Galbart G,,5.0,2.912,0.0,0.00414145912044778
Ogo,,6.0,4.248,0.0,0.002327321198787294
Rhaego,,6.0,4.248,0.0,0.002327321198787294
Addam M,,5.0,3.2,0.0,0.0020941946700188552
Randyll T,,6.0,3.752,0.0,0.002333322438776628
Malleon,,5.0,3.488,0.0,0.0020240197709463456
Hullen,,5.0,3.208,0.0,0.002066569842951826
Marq P,,5.0,3.136,125.25757575757575,0.005417615542789119
Colemon,,6.0,3.712,0.0,0.0023719158175142625
Timett,,6.0,3.848,0.0,0.003005167944833061
Maege M,,6.0,3.768,0.0,0.002313233076821712
Karyl V,,6.0,4.128,0.0,0.0027264858715897295
